size	miss_ratio_lru	miss_ratio_lip	miss_ratio_rnd	miss_ratio_fif	cpi_lru		cpi_lip		cpi_rnd		cpi_fifo
256	37.258		41.211		39.662		38.411		122.401		135.387		130.297		126.188
512	30.188		32.239		32.843		31.706		99.175		105.912		107.895		104.160
1024	23.959		23.132		24.654		25.841		78.711		75.994		80.994		84.894
2048	13.907		15.128		15.406		15.390		45.688		49.700		50.613		50.561
4096	9.022		10.569		10.371		10.061		29.640		34.723		34.071		33.053
8192	7.924		8.692		8.986		8.478		26.033		28.555		29.521		27.851
16384	7.425		7.683		8.063		7.685		24.393		25.239		26.489		25.247
32768	7.245		7.423		7.510		7.323		23.802		24.386		24.670		24.057
65536	6.981		7.083		7.204		7.099		22.934		23.271		23.667		23.323
