size	miss_ratio_lru	miss_ratio_lip	miss_ratio_rnd	miss_ratio_fif	cpi_lru		cpi_lip		cpi_rnd		cpi_fifo
256	40.593		44.564		42.579		42.142		138.510		152.060		145.289		143.797
512	33.172		36.350		35.739		35.035		113.189		124.032		121.950		119.547
1024	27.014		25.230		27.429		28.558		92.177		86.089		93.593		97.447
2048	15.447		16.910		16.658		17.055		52.707		57.699		56.839		58.197
4096	9.810		11.854		11.584		10.947		33.474		40.448		39.528		37.353
8192	8.599		9.442		9.719		9.244		29.343		32.218		33.162		31.544
16384	8.085		8.365		8.730		8.362		27.589		28.542		29.790		28.533
32768	7.873		8.063		8.206		7.952		26.864		27.513		28.002		27.134
65536	7.601		7.705		7.841		7.725		25.936		26.290		26.754		26.358
