size	miss_ratio_lru	miss_ratio_lip	miss_ratio_rnd	miss_ratio_fif	cpi_lru		cpi_lip		cpi_rnd		cpi_fifo
256	10.506		13.569		13.098		12.770		65.398		84.459		81.529		79.491
512	9.313		10.165		9.033		10.098		57.972		63.274		56.229		62.859
1024	4.097		3.890		4.366		4.496		25.502		24.215		27.179		27.988
2048	2.311		2.506		2.546		2.571		14.387		15.599		15.846		16.006
4096	1.475		1.704		1.739		1.641		9.184		10.607		10.822		10.216
8192	1.306		1.417		1.454		1.394		8.126		8.820		9.050		8.680
16384	1.221		1.254		1.333		1.268		7.599		7.803		8.297		7.890
32768	1.182		1.213		1.230		1.197		7.358		7.548		7.654		7.450
65536	1.139		1.154		1.174		1.159		7.088		7.186		7.309		7.213
