size	miss_ratio_lru	miss_ratio_lip	miss_ratio_rnd	miss_ratio_fif	cpi_lru		cpi_lip		cpi_rnd		cpi_fifo
256	41.237		45.300		43.395		42.806		140.877		154.758		148.252		146.239
512	34.086		37.334		36.766		35.982		116.447		127.545		125.604		122.927
1024	27.879		26.019		28.263		29.431		95.244		88.889		96.556		100.545
2048	15.832		17.353		17.083		17.506		54.089		59.283		58.361		59.806
4096	10.023		12.140		11.837		11.206		34.242		41.475		40.438		38.284
8192	8.767		9.652		9.901		9.439		29.952		32.974		33.825		32.247
16384	8.243		8.539		8.933		8.526		28.161		29.172		30.519		29.127
32768	8.038		8.235		8.295		8.119		27.461		28.135		28.338		27.736
65536	7.742		7.859		7.945		7.872		26.450		26.849		27.142		26.894
