size	miss_ratio_lru	miss_ratio_lip	miss_ratio_rnd	miss_ratio_fif	cpi_lru		cpi_lip		cpi_rnd		cpi_fifo
256	36.742		40.594		39.555		37.821		132.474		146.363		142.617		136.365
512	30.001		32.061		32.224		31.503		108.169		115.597		116.185		113.583
1024	24.261		23.124		25.045		25.952		87.473		83.372		90.300		93.571
2048	14.255		15.522		15.460		15.797		51.398		55.966		55.740		56.956
4096	8.795		10.278		10.399		9.825		31.709		37.058		37.493		35.423
8192	7.651		8.390		8.627		8.216		27.584		30.251		31.104		29.622
16384	7.177		7.423		7.863		7.427		25.876		26.762		28.349		26.778
32768	6.985		7.172		7.275		7.052		25.183		25.860		26.231		25.425
65536	6.714		6.804		6.960		6.837		24.208		24.531		25.095		24.652
