size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
256        6.80800         11.12600        8.69800         8.20100         8.97300         9.73500         10.53800        14.58800        23.83900        18.63800        17.57200        19.22600        20.85800        22.57900       
512        5.23800         6.74200         5.83700         5.97100         6.02000         6.28600         6.55100         11.22300        14.44600        12.50800        12.79500        12.90000        13.46900        14.03700       
1024       3.11900         3.05400         2.31300         3.18000         2.93600         2.96800         2.99600         6.68400         6.54300         4.95700         6.81300         6.29000         6.35900         6.42000        
2048       0.28300         0.30900         0.30700         0.28000         0.27000         0.27700         0.28500         0.60700         0.66300         0.65700         0.60000         0.57800         0.59300         0.61000        
4096       0.09300         0.11800         0.09600         0.09800         0.08900         0.08900         0.08900         0.19900         0.25300         0.20500         0.21000         0.19100         0.19100         0.19000        
8192       0.06100         0.09100         0.07000         0.06300         0.06300         0.06500         0.06500         0.13100         0.19400         0.14900         0.13500         0.13600         0.13800         0.13900        
16384      0.04400         0.07300         0.05200         0.04600         0.04600         0.04600         0.05200         0.09500         0.15700         0.11100         0.09800         0.09800         0.09800         0.11200        
32768      0.03200         0.03500         0.03800         0.03300         0.03500         0.03500         0.03500         0.06900         0.07600         0.08200         0.07000         0.07500         0.07500         0.07500        
65536      0.03000         0.03200         0.03200         0.03000         0.03200         0.03200         0.03200         0.06400         0.06800         0.06900         0.06400         0.06800         0.06800         0.06800        
