size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
256        16.71400        19.99700        18.23000        18.68300        18.99000        19.42100        19.74600        75.86400        90.76700        82.74900        84.80400        86.19300        88.15100        89.62600       
512        4.69400         4.94800         5.26900         5.55900         4.73300         4.75800         4.80300         21.30600        22.45800        23.91900        25.23100        21.48200        21.59700        21.80000       
1024       1.39700         1.56400         1.57500         1.54800         1.30600         1.32000         1.31500         6.34100         7.10100         7.15100         7.02900         5.93000         5.98900         5.97000        
2048       0.95300         1.25800         1.04900         0.99700         0.96800         0.98400         1.04600         4.32600         5.71100         4.76200         4.52600         4.39400         4.46500         4.74900        
4096       0.86600         1.15400         0.90100         0.89000         0.86800         0.86700         0.86700         3.93300         5.23600         4.09100         4.03800         3.94000         3.93700         3.93700        
8192       0.79800         1.04700         0.84700         0.81400         0.82300         0.82400         0.85500         3.62200         4.75400         3.84300         3.69700         3.73600         3.73900         3.88100        
16384      0.75200         1.00400         0.77800         0.76200         0.77700         0.77500         0.78200         3.41500         4.55600         3.53200         3.46000         3.52800         3.51700         3.55000        
32768      0.62200         0.63100         0.67400         0.62000         0.63300         0.63100         0.63100         2.82300         2.86200         3.05800         2.81700         2.87400         2.86400         2.86200        
65536      0.45300         0.50300         0.57500         0.45600         0.50100         0.50300         0.50300         2.05500         2.28400         2.61000         2.06900         2.27400         2.28200         2.28400        
